patch,label,sequence,feature,tree,graph,codet5,plbart,unixcoder,graphcodebert,codebert
DynaMoth_Math_32_defects4j_patch1,1,0,1,1,1,1,1,1,1,1
DynaMoth_Math_41_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_49_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_58_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_71_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
DynaMoth_Math_8_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_81_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_82_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_85_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
DynaMoth_Time_11_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
Elixir_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Chart_17_defects4j_patch1,1,1,1,1,1,1,1,1,1,0
Elixir_Chart_3_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Lang_39_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Lang_44_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Lang_51_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Lang_58_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Math_104_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Math_2_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Math_20_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Math_32_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
Elixir_Math_63_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Elixir_Math_73_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
Elixir_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_12_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_13_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_14_defects4j_patch1,1,1,1,0,0,0,1,1,1,1
FixMiner_Chart_14_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_14_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_14_defects4j_patch4,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_14_defects4j_patch5,1,1,0,1,1,1,1,1,1,1
FixMiner_Chart_15_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_15_defects4j_patch2,1,1,0,1,1,1,1,1,1,1
FixMiner_Chart_17_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_25_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_26_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_3_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Chart_7_defects4j_patch2,1,1,1,1,1,0,0,0,1,1
FixMiner_Closure_129_defects4j_patch2,1,1,1,0,0,0,0,0,0,1
FixMiner_Closure_19_defects4j_patch2,1,0,0,0,0,0,0,0,0,0
FixMiner_Lang_57_defects4j_patch2,1,0,0,0,0,0,0,0,0,0
FixMiner_Lang_63_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Math_20_defects4j_patch2,1,1,0,1,1,1,0,1,1,0
FixMiner_Math_50_defects4j_patch2,1,1,0,0,0,1,1,1,0,1
FixMiner_Math_63_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Math_80_defects4j_patch2,1,0,1,1,1,1,0,1,1,1
FixMiner_Math_81_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
FixMiner_Math_84_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
FixMiner_Time_11_defects4j_patch2,1,0,0,1,1,0,0,0,0,1
GenProg_Chart_1_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Chart_12_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Chart_3_defects4j_patch1,1,1,0,0,0,1,0,0,0,1
GenProg_Closure_10_defects4j_patch1,1,0,0,1,1,1,1,1,0,1
GenProg_Closure_112_defects4j_patch1,1,0,0,1,0,1,0,0,1,0
GenProg_Closure_114_defects4j_patch1,1,1,1,1,0,0,0,0,1,0
GenProg_Closure_124_defects4j_patch1,1,0,1,1,1,0,0,1,0,0
GenProg_Closure_129_defects4j_patch1,1,0,1,1,0,1,1,1,1,1
GenProg_Closure_130_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
GenProg_Closure_21_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Closure_22_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Closure_55_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Closure_59_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Closure_67_defects4j_patch1,1,1,1,1,1,0,1,1,1,1
GenProg_Closure_75_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
GenProg_Closure_78_defects4j_patch1,1,1,1,1,0,1,1,1,1,1
GenProg_Lang_7_defects4j_patch1,1,1,1,1,1,1,0,1,1,0
GenProg_Math_28_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_31_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_40_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_81_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_85_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProg_Math_95_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Chart_1_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Chart_1_defects4j_patch2,1,0,1,1,1,1,1,1,1,1
GenProgA_Chart_1_defects4j_patch3,1,1,1,1,0,1,1,1,1,1
GenProgA_Chart_12_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Chart_12_defects4j_patch2,1,0,0,1,1,1,1,1,1,1
GenProgA_Chart_12_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
GenProgA_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_114_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_114_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_114_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_75_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_75_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
GenProgA_Closure_75_defects4j_patch3,1,0,0,0,0,0,0,0,0,0
GenProgA_Closure_75_defects4j_patch4,1,1,0,1,1,1,1,1,1,1
GenProgA_Lang_7_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_31_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_31_defects4j_patch2,1,0,0,1,1,1,1,1,1,1
GenProgA_Math_31_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_31_defects4j_patch4,1,0,0,1,0,0,0,0,0,0
GenProgA_Math_40_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_40_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_40_defects4j_patch3,1,0,0,0,1,1,1,1,1,1
GenProgA_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_85_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_85_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_85_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_95_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_95_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
GenProgA_Math_95_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
HDRepair_Lang_6_defects4j_patch2,1,0,0,1,0,0,0,0,1,0
HDRepair_Math_50_defects4j_patch4,1,0,0,1,1,0,1,1,0,0
HDRepair_Math_53_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
HDRepair_Math_82_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
HDRepair_Math_85_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
Hercules_Lang_51_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
Hercules_Lang_51_defects4j_patch4,1,1,1,1,1,1,1,1,1,1
Hercules_Math_20_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
Hercules_Math_20_defects4j_patch4,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Chart_7_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Math_2_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Math_49_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Math_73_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
JGenProg2015_Time_4_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Jaid_Chart_1_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
Jaid_Chart_1_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
Jaid_Chart_1_defects4j_patch9,1,1,1,1,1,1,1,1,1,1
Jaid_Chart_26_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
Jaid_Chart_26_defects4j_patch3,1,0,0,0,0,0,0,0,0,0
Jaid_Chart_9_defects4j_patch10,1,0,0,0,0,1,0,1,0,0
Jaid_Chart_9_defects4j_patch7,1,0,0,0,0,1,0,1,0,0
Jaid_Chart_9_defects4j_patch9,1,0,0,0,0,1,0,1,0,0
Jaid_Closure_33_defects4j_patch7,1,1,1,1,1,1,1,1,1,1
Jaid_Closure_33_defects4j_patch8,1,1,1,1,1,1,1,1,0,1
Jaid_Lang_45_defects4j_patch1,1,0,1,0,1,1,0,1,1,1
Jaid_Lang_45_defects4j_patch2,1,0,1,0,1,1,1,1,1,1
Jaid_Lang_51_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
Jaid_Lang_51_defects4j_patch12,1,0,0,1,0,1,1,1,1,1
Jaid_Lang_51_defects4j_patch8,1,0,1,1,1,1,1,1,1,1
Jaid_Lang_51_defects4j_patch9,1,0,1,1,1,1,1,1,1,1
Jaid_Lang_55_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
Jaid_Lang_55_defects4j_patch12,1,1,1,0,1,1,0,1,0,1
Jaid_Lang_55_defects4j_patch9,1,1,1,0,1,1,1,1,0,1
Jaid_Lang_61_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
Jaid_Lang_61_defects4j_patch8,1,1,1,1,1,1,1,1,1,1
Jaid_Math_32_defects4j_patch1,1,0,0,1,0,1,1,1,1,1
Jaid_Math_50_defects4j_patch1,1,1,0,0,0,1,1,1,0,1
Jaid_Math_50_defects4j_patch3,1,1,0,0,1,1,1,1,0,0
Jaid_Math_53_defects4j_patch10,1,0,0,1,0,0,0,1,0,0
Jaid_Math_53_defects4j_patch12,1,0,0,1,0,0,1,1,0,0
Jaid_Math_53_defects4j_patch8,1,0,0,0,0,0,0,0,0,0
Jaid_Math_80_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
Jaid_Math_80_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
Jaid_Math_80_defects4j_patch9,1,1,1,1,1,1,1,1,1,1
Jaid_Math_82_defects4j_patch10,1,1,1,1,0,1,1,1,1,1
Jaid_Math_82_defects4j_patch12,1,1,0,1,1,1,1,1,1,1
Jaid_Math_82_defects4j_patch14,1,1,1,1,0,1,1,1,1,1
Jaid_Math_82_defects4j_patch9,1,1,1,1,1,1,1,1,1,1
Jaid_Math_85_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
Jaid_Math_85_defects4j_patch11,1,1,1,1,1,1,1,1,1,1
Jaid_Math_85_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
Jaid_Math_85_defects4j_patch14,1,1,1,1,1,1,1,1,1,1
Kali_Chart_12_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Chart_15_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Chart_26_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_10_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_114_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_117_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
Kali_Closure_59_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
Kali_Closure_64_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_68_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_7_defects4j_patch1,1,1,1,0,1,1,1,1,1,1
Kali_Closure_76_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Closure_78_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Math_31_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Kali_Math_95_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Chart_1_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Chart_12_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Chart_15_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
KaliA_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Chart_26_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_1_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
KaliA_Closure_10_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_112_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
KaliA_Closure_117_defects4j_patch1,1,0,0,1,1,1,1,1,1,1
KaliA_Closure_119_defects4j_patch1,1,0,0,1,0,1,0,1,0,0
KaliA_Closure_12_defects4j_patch1,1,0,1,1,1,1,1,1,1,1
KaliA_Closure_122_defects4j_patch1,1,0,0,0,1,0,0,0,0,0
KaliA_Closure_124_defects4j_patch1,1,0,0,0,1,0,1,0,1,0
KaliA_Closure_125_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
KaliA_Closure_127_defects4j_patch1,1,0,0,0,1,1,0,1,1,1
KaliA_Closure_129_defects4j_patch1,1,0,1,1,1,0,0,1,0,1
KaliA_Closure_130_defects4j_patch1,1,0,0,1,0,0,1,1,1,1
KaliA_Closure_132_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_15_defects4j_patch1,1,0,0,1,0,1,1,1,1,1
KaliA_Closure_21_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
KaliA_Closure_22_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_3_defects4j_patch1,1,0,0,1,1,0,1,1,0,0
KaliA_Closure_33_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_46_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_55_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_59_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
KaliA_Closure_64_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_67_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_68_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Closure_7_defects4j_patch1,1,1,1,0,1,1,1,1,1,1
KaliA_Closure_75_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
KaliA_Closure_78_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_2_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_28_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_31_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_49_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_80_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_84_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Math_95_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
KaliA_Mockito_10_defects4j_patch1,1,0,0,0,1,1,0,0,0,0
LSRepair_Chart_17_defects4j_patch1,1,0,0,1,1,0,0,1,0,0
LSRepair_Chart_18_defects4j_patch1,1,0,0,0,1,1,1,1,1,1
